data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2020-02-24T18:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,10,2,12,6,18,0,18,0,0,,,18,148,,,,,,,,,,,
2020-02-25T18:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,15,2,17,9,26,8,8,0,0,,,26,391,,,,,,,,,,,
2020-02-26T18:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,20,3,23,23,46,20,21,0,1,,,47,577,,,,,,,,,,,
2020-02-27T18:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,36,6,42,54,96,50,50,0,1,,,97,1033,,,,,,,,,,,
2020-02-28T18:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,56,6,62,81,143,47,48,0,2,,,145,1277,,,,,,,,,,,
2020-02-29T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,86,11,97,116,213,70,72,0,4,,,217,1550,,,,,,,,,,,
2020-03-01T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,127,13,140,137,277,64,68,0,8,,,285,1795,,,,,,,,,,,
2020-03-02T18:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,148,16,164,160,324,47,50,0,11,,,335,1973,,,,,,,,,,,
2020-03-03T18:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,187,24,211,187,398,74,85,4,18,,,420,2012,,,,,,,,,,,
2020-03-04T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,256,26,282,234,516,118,124,6,22,,,544,2500,,,,,,,,,,,
2020-03-05T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,327,32,359,299,658,142,154,10,30,,,698,2884,,,,,,,,,,,
2020-03-06T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,397,53,450,366,816,158,172,17,37,,,870,3136,,,,,,,,,,,
2020-03-07T18:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,464,64,528,409,937,121,140,25,48,,,1010,3604,,,,,,,,,,,
2020-03-08T18:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,542,75,617,480,1097,160,170,27,56,,,1180,4344,,,,,,,,,,,
2020-03-09T18:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,576,90,666,620,1286,189,206,30,70,,,1386,4906,,,,,,,,,,,
2020-03-10T18:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,669,98,767,650,1417,131,147,31,85,,,1533,5494,,,,,,,,,,,
2020-03-11T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,745,104,849,739,1588,171,206,38,113,,,1739,6640,,,,,,,,,,,
2020-03-12T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,814,112,926,832,1758,170,208,43,146,,,1947,7600,,,,,,,,,,,
2020-03-13T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,942,128,1070,941,2011,253,316,51,201,,,2263,8787,,,,,,,,,,,
2020-03-14T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,1076,152,1228,1121,2349,338,381,54,241,,,2644,10043,,,,,,,,,,,
2020-03-15T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,1215,169,1384,1357,2741,392,449,68,284,,,3093,12054,,,,,,,,,,,
2020-03-16T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,1362,197,1559,1529,3088,347,429,88,346,,,3522,13096,,,,,,,,,,,
2020-03-17T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,1566,223,1789,1615,3404,316,409,134,393,,,3931,14510,,nd-IT-0008,,,,,,,,,
2020-03-18T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,1784,247,2031,1884,3915,511,594,152,458,,,4525,15461,,nd-IT-0011,,,,,,,,,
2020-03-19T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,1900,260,2160,2346,4506,591,689,177,531,,,5214,18344,,,,,,,,,,,
2020-03-20T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,2083,267,2350,2739,5089,583,754,239,640,,,5968,20753,,,,,,,,,,,
2020-03-21T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,2267,265,2532,3129,5661,572,737,329,715,,,6705,24620,,,,,,,,,,,
